"﻿""description",Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Ad List,Category,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,Firm Type,Firm Number,REN Number,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,"Railway Station"""
"""Iconic Building @ KL SETAPAK
New launching & Latest condo !!!!! ðŸ”¥
House with luxury hotel concept ðŸ˜ðŸ‘‘
ðŸ’Ž Freehold
ðŸ”‘ Dual key
ðŸ›Œ 2 / 3 / 4 rooms
ðŸ’°Affordable and Low entry price
ðŸ’¼ 100% full furnish, move in with a luggage
Whatsapp / Call 
Show contact number
 ( Eugine ) for more details & showroom viewing ðŸ”¥
Whatsapp / Call 
Show contact number
 ( Eugine ) for more details & showroom viewing ðŸ”¥
Whatsapp / Call 
Show contact number
 ( Eugine ) for more details & showroom viewing ðŸ”¥
Whatsapp link :
https://hotnewcondo.wasap.my
https://hotnewcondo.wasap.my
https://hotnewcondo.wasap.my
ðŸ5 ðŸŒŸ facilities : Sky lounge, Sky bridge, Sky garden
ðŸš— 6km to KLCC/ Bkt Bintang
ðŸ± Food Heaven
ðŸ“ˆ Freehold Appreciation
ðŸ‘‘ Luxury Hotel Drop-off Lobby
ðŸŠðŸ» Infinity Pool
ðŸ¡ Sky Garden, Sky Lounge, Sky bridge
Facilities:
Level 10 â€“ Elevated lawn for Yoga, Jogging Trail, Jacuzzi, Infinity Pool, Wading Pool, Pool Deck, Play land, Sunbathe Terrace, Sun Lounge, Gymnamsium, Viewing Deck, Squash, Futsal, Half Basketball court, central lobby and relaxing yard.
Level 50 â€“ Viewing Terrace, Barbeque area, Gathering space, Turf Mound, Multistep Seating Lounge, Rooftop Lounge and open stage.
Whatsapp / Call 
Show contact number
 ( Eugine ) for more details & showroom viewing ðŸ”¥
Whatsapp / Call 
Show contact number
 ( Eugine ) for more details & showroom viewing ðŸ”¥
Whatsapp / Call 
Show contact number
 ( Eugine ) for more details & showroom viewing ðŸ”¥
Whatsapp link :
https://hotnewcondo.wasap.my
https://hotnewcondo.wasap.my
https://hotnewcondo.wasap.my
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
4
Bathroom
2
Property Size
1000 sq.ft.
Nearby School
Sekolah Menengah Pendidikan Khas Cacat Penglihatan
Nearby Mall
Setapak Central
See more details,4,2,1000 sq.ft.,Sekolah Menengah Pendidikan Khas Cacat Penglihatan,Setapak Central,98187451,""""Apartment / Condominium, For sale"""",-,Kenwingston Platz,Kenwingston Group,Freehold,""""Jalan Gombak, Setapak, Kuala Lumpur"""",-,-,-,Service Residence,2,-,Non Bumi Lot,VE,30338,-,""""Bus Stop Starparc Point""
Bus Stop Setapak Central
Bus Stop Setapak Sentral (Opp)
Bus Stop Columbia Hospital
Bus Stop PV12 Residence
Bus Stop PV15 Platinum
Bus Stop PV12 Condominium (Opp)
Bus Stop Sri Utama Schools (Opp)
Bus Stop CIMB Genting Klang
Bus Stop 1 Sri Utama Schools
Bus Stop Aeon Big Danau Kota
Bus Stop 2 Sri Utama Schools
Bus Stop Setapak Commercial
Bus Stop 1 Setapak Food Court
Bus Stop Setapak Industrial Area
Bus Stop 2 Setapak Food Court
Bus Stop 2 Medan Makmur Setapak
Bus Stop 1 Medan Makmur Setapak
Bus Stop Langkawi Apartment (Opp)
Bus Stop BHP Genting Klang
Bus Stop Jalan Kilang
""Bus Stop PV128 Setapak"""",Setapak Central,""""Park at Taman Tasik Danau Kota, Setapak, Kuala Lumpur, Malaysia""
""Park at Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia""
""Park 1 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia"""",""""Sekolah Menengah Pendidikan Khas Cacat Penglihatan""
Sekolah Kebangsaan Danau Kota
SJK (C) Wangsa Maju
Kolej Vokasional Setapak
Sri Utama Schools
SK Danau Kota (2)
""SMK Danau Kota"""",Columbia Asia Hospital,RM 340 000,,,""
""FOR SALE @ RM250,000
Introduction:
~ Pangsapuri Kenanga @ Kampung Lapan
~ 980 sqft
~ 3 Bedrooms & 2 Bathrooms
~ Bathroom with Water Heather
~ Master Bedroom with Aircond
~ Walk Up Apartment
~ Bare Unit
Facilities
~ Enter with access card
~ Swimming Pool
~ Nice environment
Nearby:
- Strategic Location
- Jonker Walk, UNESCO World Heritage Site
- Dataran Pahlawan
- Hospital Mahkota
- Kota Laksamana
- Melaka Central (Bus Station)
>>> https://www.youtube.com/@propertysoldier6688
>>> https://www.facebook.com/propertysoldiermelaka
>>> You may call me up for other house inquiries, we have other houses ready for sale,
Melaka Property Wanted For Sale: House, Apartment, Condominium, Shop, Factory, Land
and etc.
#Free Consultation Loan Service & Lawyer advise
My Profile:
We are a property management company.
In this industry for over eight years.
Provide Service :
* Sales & Purchase
* Super Host Home Stay Management
* Long-Term Contract Renting
* House Cleaning Service
* Design & Renovation
Continue Reading,3,2,980 sq.ft.,,,101683090,""""Apartment / Condominium, For sale"""",""""Parking, Security, Swimming Pool, Playground, Barbeque area, Jogging Track"""",Kenanga (Park View Court),-,Freehold,""""Jalan Kenanga 3/8, Melaka City, Melaka"""",-,-,-,Apartment,1,Low,Non Bumi Lot,E,30812,REN 15862,,,,,,RM 250 000,,,""",3,2,980 sq.ft.,,,101683090,"Apartment / Condominium, For sale","Parking, Security, Swimming Pool, Playground, Barbeque area, Jogging Track",Kenanga (Park View Court),-,Freehold,"Jalan Kenanga 3/8, Melaka City, Melaka",-,-,-,Apartment,1,Low,Non Bumi Lot,E,30812,REN 15862,,,,,,RM 250 000,,,
"""[Below Market] Sri Lavender Apartment,Tmn Sepakat Indah,100% FULL LOAN
RM 230,000
(ðŸ’¥BELOW MARKET VALUEðŸ’¥)
MARKET VALUE: RM 330,000
# LPPSA | KWSP AC 2
# Mark up Price Available
# 100% Full Loan Available
# Cash Back Available
# Below Market Price
Please contact me for arrange viewing 
Show contact number
Please contact me for arrange viewing 
Show contact number
Please contact me for arrange viewing 
Show contact number
=============================
Property Type: Apartment
Title type: Freehold
Bedrooms: 3
Bathroom: 2
Size: 1000 sq.ft.
Property Details:
- 7th Floor with Balcony
- Freehold, Open title & Strata Ready
- 1 Covered parking lot(can be seen from the unit ) with smart access card
- Corner unit with awesome scenery from any angle of the unit.
=============================
Facilities:
Mini Market, Playground, 24 Hour Security, Balcony/Patio, Cable TV
 
Location :
- 3 min to Silk Highway
- 7 min to Plus Highway/Uniten
- 5 min to Bandar Baru Bangi(nearest to seksyen 7)
- 10 min to IOI Mall/Hospital Serdang/UPM
- 10 min to Kajang/MRT Stadium Kajang
Public Transport
- 2 min walking distance to Smart Selangor(free) bus stop/MRT Feeder Bus(MRT Kajang)
Please contact me for arrange viewing 
Show contact number
Please contact me for arrange viewing 
Show contact number
Please contact me for arrange viewing 
Show contact number
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
1000 sq.ft.
See more details,3,2,1000 sq.ft.,,,103792905,""""Apartment / Condominium, For sale"""",""""Playground, Minimart, Jogging Track, Barbeque area, Parking, Security, Lift"""",Sri Lavender Apartment,TLS Group,Freehold,""""Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2, Kajang, Selangor"""",2007,13,445,Apartment,1,Medium,Non Bumi Lot,-,-,-,,,,,,RM 230 000,SILK Sg Ramal (T) Toll Plaza,,""",3,2,1000 sq.ft.,,,103792905,"Apartment / Condominium, For sale","Playground, Minimart, Jogging Track, Barbeque area, Parking, Security, Lift",Sri Lavender Apartment,TLS Group,Freehold,"Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2, Kajang, Selangor",2007,13,445,Apartment,1,Medium,Non Bumi Lot,-,-,-,,,,,,RM 230 000,SILK Sg Ramal (T) Toll Plaza,,
"""Flat Pandan Indah
Jalan Pandan Indah 3/3
Non Bumi lot, 100% loan
=====================
â€¢ Walk up flat
â€¢ Non Bumi lot
â€¢ Leasehold with strata title
â€¢ Build up 592sqft
â€¢ 3 bedroom,1 bathroom
â€¢ Flooring fully tiles
â€¢ Build  in concreate table top
â€¢ Well Maintain and Good Condition
Henrick Tan
Show contact number
Show contact number
Senior Negotiator,3,1,592 sq.ft.,,,103806240,""""Apartment / Condominium, For sale"""",""""Parking, Playground, Minimart, Jogging Track"""",Flat Pandan Indah,-,Leasehold,""""jalan pandan indah 3/3, Selangor, Ampang"""",-,-,-,Flat,1,-,Non Bumi Lot,E,11584,REN 16279,,,,,,RM 158 000,,,""",3,1,592 sq.ft.,,,103806240,"Apartment / Condominium, For sale","Parking, Playground, Minimart, Jogging Track",Flat Pandan Indah,-,Leasehold,"jalan pandan indah 3/3, Selangor, Ampang",-,-,-,Flat,1,-,Non Bumi Lot,E,11584,REN 16279,,,,,,RM 158 000,,,
"""* Open-concept Soho with balcony, unblock view
* fully furnished studio unit 467 sq feet
*consists of built in kitchen cabinets with induction cookers, microwave oven, washing machine, fridge, led tv, aircond, ceiling fan, water heater, alarm bell system, dining table sets with chairs, curtains, bed with mattress plus wardrobe & sofa, installed iron grill for front door
*Best for the newly married
PROPERTY HIGHLIGHTS
NEW!
Bedroom
1
Bathroom
1
Property Size
467 sq.ft.
Nearby School
Sekolah Jenis Kebangsaan (T) Ladang Midlands
Nearby Mall
i-Soho i-City
See more details,1,1,467 sq.ft.,Sekolah Jenis Kebangsaan (T) Ladang Midlands,i-Soho i-City,103806234,""""Apartment / Condominium, For sale"""",""""Minimart, Gymnasium, Parking, Security"""",i-Soho @ i-City,i-Berhad,Freehold,""""Jalan Plumbum 7/102, Shah Alam, Selangor"""",-,43,956,Studio,-,Low,Bumi Lot,E,31916,-,""""Bus Stop at Persiaran Permai 1""
Bus Stop at Persiaran Permai 2
Bus Stop at Pusat Komersial Seksyen 7 (Timur)
Bus Stop at Persiaran Bestari 1
Bus Stop at Jalan Plumbum N7/N
Bus Stop at UITM Shah Alam (Barat)
Bus Stop at Jakel (Seksyen 7)
Bus Stop at Jalan Sungai Rasau 1
Bus Stop at Federal Highway 1
Bus Stop at Jalan Sungai Rasau 2
Bus Stop at Jakel 2 (Seksyen 7)
""Bus Stop at Pusat Kesihatan"""",""""i-Soho i-City""
Gulati
""Central i-City Shopping Centre"""",""""Park 2 at Section 7, Shah Alam""
""Park 1 at Section 7, Shah Alam"""",""""Sekolah Jenis Kebangsaan (T) Ladang Midlands""
""Sekolah Kebangsaan Seksyen 7"""",""""Osel Clinic (Shah Alam)""
""Hospital Shah Alam"""",RM 305 000,,,""
""D'Piazza, Bayan Baru for SALE
Details:
âœ…1100 sqf
âœ…3 bedroom
âœ…2bathroom
âœ…1 car park
ðŸ“ŒOriginal unit, airconds, heater 
Interested please call 
Show contact number,3,2,1100 sq.ft.,,,103739787,""""Apartment / Condominium, For sale"""",""""Parking, Swimming Pool, Multipurpose hall, Sauna, Minimart, Barbeque area, Security, Playground, Gymnasium, Tennis Court, Lift"""",D'Piazza Condominium,X-Scan Penang Sdn Bhd,Freehold,""""Jalan Mayang Pasir 2, Bayan Baru, Penang"""",2010,19,706,Condominium,1,Low,Non Bumi Lot,E,11307,REN 61472,,,,,,RM 425 000,,,""",3,2,1100 sq.ft.,,,103739787,"Apartment / Condominium, For sale","Parking, Swimming Pool, Multipurpose hall, Sauna, Minimart, Barbeque area, Security, Playground, Gymnasium, Tennis Court, Lift",D'Piazza Condominium,X-Scan Penang Sdn Bhd,Freehold,"Jalan Mayang Pasir 2, Bayan Baru, Penang",2010,19,706,Condominium,1,Low,Non Bumi Lot,E,11307,REN 61472,,,,,,RM 425 000,,,
"""Sri Alpinia Apartment Puchong FOR SALE
FULL LOAN CAN BE ARRANGED!! ðŸ”¥ðŸ”¥ 
FULL LOAN CAN BE ARRANGED!! ðŸ”¥ðŸ”¥ 
NO NEED 10% ðŸ”¥ðŸ”¥
NO NEED 10% ðŸ”¥ðŸ”¥
Unit details:
- 3 rooms 2 baths âœ…
- 1 parking âœ…
- FREEHOLD âœ…
- NON BUMI LOT âœ…
*** FOR SERIOUS BUYER ONLY ***
- FULL LOAN APPLICABLE ðŸ”¥
- Booking 1k - Refund if loan x pass ðŸ”¥
- LAWYER AND BANKER CAN BE ARRANGED ðŸ”¥
*** PICTURE DISPLAYED IS NOT ACTUAL UNIT ***
*** The pictures is just for environment display only NOT the actual unit ***
Please: Call/SMS/WhatsApp/Email for more information. Thank you!
-
(Kayden Fong : 
Show contact number
)
(Kayden Fong : 
Show contact number
)
(Kayden Fong : 
Show contact number
)
Email = 
****@***.***
Vestcom Realty E(3)1484
D-12 (Level 2) Cheras Centrepoint
Medan Connaught, 56000
Kuala Lumpur.
*** Owner have unit can contact me as well ***
Continue Reading,3,2,780 sq.ft.,,,103690767,""""Apartment / Condominium, For sale"""",""""Parking, Playground, Barbeque area, Security"""",Pangsapuri Sri Alpinia,IOI Properties Group Berhad,Freehold,""""Persiaran Indera, Pusat Bandar Puchong, Puchong, Selangor"""",-,5,281,Condominium,1,-,Non Bumi Lot,E,31484,-,,,,,,RM 230 000,,,""",3,2,780 sq.ft.,,,103690767,"Apartment / Condominium, For sale","Parking, Playground, Barbeque area, Security",Pangsapuri Sri Alpinia,IOI Properties Group Berhad,Freehold,"Persiaran Indera, Pusat Bandar Puchong, Puchong, Selangor",-,5,281,Condominium,1,-,Non Bumi Lot,E,31484,-,,,,,,RM 230 000,,,
"""Vista Lavender Apartment Puchong FOR SALE
0% DOWNPAYMENT!! ðŸ”¥ðŸ”¥
0% DOWNPAYMENT!! ðŸ”¥ðŸ”¥
LOW BOOKING (REFUNDABLE IF LOAN REJECTED) ðŸ˜ðŸ”¥ðŸ”¥
LOW BOOKING (REFUNDABLE IF LOAN REJECTED) ðŸ˜ðŸ”¥ðŸ”¥
Unit details:
- 3 rooms 2 baths âœ…
- 1 parking âœ…
- LOW BOOKING, 0% DEPOSIT âœ…
*** FOR SERIOUS BUYER ONLY ***
- LOW DEPOSIT AND BOOKING!!! ðŸŒ¹ðŸ’Ž
- FULL LOAN APPLICABLE!!! ðŸŒ¹ðŸ’Ž
- LAWYER AND BANKER CAN BE ARRANGED!!! ðŸŒ¹ðŸ’Ž
*** PICTURE DISPLAYED IS NOT ACTUAL UNIT ***
*** The pictures is just for environment display only NOT the actual unit ***
Please: Call/SMS/WhatsApp/Email for more information. Thank you!
-
(Kayden Fong : 
Show contact number
)
(Kayden Fong : 
Show contact number
)
(Kayden Fong : 
Show contact number
)
Email = 
****@***.***
Vestcom Realty E(3)1484
D-12 (Level 2) Cheras Centrepoint
Medan Connaught, 56000
Kuala Lumpur.
*** Owner have unit can contact me as well ***
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
852 sq.ft.
Nearby School
Kafa Integrasi Al-Falah
See more details,3,2,852 sq.ft.,,,103615852,""""Apartment / Condominium, For sale"""",""""Parking, Playground, Swimming Pool, Multipurpose hall, Security, Gymnasium, Club house, Barbeque area, Minimart, Jogging Track, Lift"""",Vista Lavender,Talam Transform Berhad,Leasehold,""""Persiaran Kinrara Seksyen 3, Bandar Kinrara, Puchong, Selangor"""",2000,12,-,Apartment,1,-,Non Bumi Lot,E,31484,-,""""Bus Stop at Jalan Puchong 5""
Bus Stop at Jalan Puchong 4
Bus Stop at Jalan Taman Kinrara
Bus Stop at Jalan Puchong 7
Bus Stop at Jalan Kinrara 4 1
Bus Stop at Jalan Kinrara 4 2
""Bus Stop at Jalan TK 1/11A"""",,""""Park at Taman Kinrara Seksyen 7, Subang Jaya""
""Park at Taman Kinrara Seksyen 4, Subang Jaya""
""Park at Taman Kinrara, Subang Jaya""
""Park at Taman Kinrara Seksyen 3, Bukit Tandang""
""Park at Taman Bukit Kuchai, Bukit Tandang""
""Park at Kinrara Ria Apartments, Subang Jaya""
""Park at Flat Taman Kinrara, Subang Jaya""
""Park at Bandar Kinrara 3 Park, Bandar Kinrara""
""Park at Pangsapuri Mawar, Bukit Tandang""
""Park at Taman Kinrara Seksyen 2, Subang Jaya""
""Park 1 at Bandar Kinrara, Subang Jaya"""",""""Kafa Integrasi Al-Falah""
Sekolah Jenis Kebangsaan (Cina) Yak Chee
Sekolah Kebangsaan Bukit Kuchai
""Sekolah Kebangsaan Seksyen 1 Bandar Kinrara"""",,RM 200 000,,,""
""Pangsapuri Damai Seksyen 25 Shah Alam FOR SALE
0% DOWNPAYMENT!! ðŸ”¥ðŸ”¥
0% DOWNPAYMENT!! ðŸ”¥ðŸ”¥
LOW BOOKING (REFUNDABLE IF LOAN REJECTED) ðŸ˜ðŸ”¥ðŸ”¥
LOW BOOKING (REFUNDABLE IF LOAN REJECTED) ðŸ˜ðŸ”¥ðŸ”¥
Unit details:
- 3 rooms 2 baths âœ…
- 1 parkings âœ…
- LOW BOOKING, 0% DEPOSIT âœ…
Facilities:
Gymnasium room
Multi-purpose hall
Playground
24 hours security
Surau
*** FOR SERIOUS BUYER ONLY***
- LOW DEPOSIT AND BOOKING!!! ðŸŒ¹ðŸ’Ž
- FULL LOAN APPLICABLE!!! ðŸŒ¹ðŸ’Ž
- LAWYER AND BANKER CAN BE ARRANGED!!! ðŸŒ¹ðŸ’Ž
*** PICTURE DISPLAYED IS NOT ACTUAL UNIT ***
*** The pictures is just for environment display only NOT the actual unit ***
Please: Call/SMS/WhatsApp/Email for more information. Thank you!
-
(Kayden Fong : )
(Kayden Fong : )
(Kayden Fong : )
Email = 
Vestcom Realty E(3)1484
D-12 (Level 2) Cheras Centrepoint
Medan Connaught, 56000
Kuala Lumpur.
*** Owner have unit can contact me as well ***
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
918 sq.ft.
Nearby School
Sekolah Kebangsaan Taman Sri Muda
Nearby Mall
Plaza Sri Muda
See more details,3,2,918 sq.ft.,Sekolah Kebangsaan Taman Sri Muda,Plaza Sri Muda,103615849,""""Apartment / Condominium, For sale"""",""""Parking, Security, Lift, Playground, Minimart, Multipurpose hall"""",Pangsapuri Damai,Ikram Ikhlas,Leasehold,""""Jalan Tokoh 25/28, Shah Alam, Selangor"""",-,-,-,Apartment,1,-,Bumi Lot,E,31484,-,""""Bus Stop at Taman Sri Muda Seksyen 25 (Utara)""
Bus Stop at Persiaran Budiman 1
""Bus Stop at Jalan Watan 25/6"""",Plaza Sri Muda,""""Park 2 at Section 23, Taman Sri Muda""
""Park 1 at Section 23, Taman Sri Muda"""",""""Sekolah Kebangsaan Taman Sri Muda""
Madrasah Tahfizul Quran wa Ta'alim Al-Islamiyah
Sekolah Agama Rendah Kafa Integrasi Al-Falah
""Sekolah Kebangsaan Taman Sri Muda 2"""",,RM 275 000,,,""
""Alam Prima Shah Alam FOR SALE
0% DOWNPAYMENT ðŸ”¥ðŸ”¥
0% DOWNPAYMENTðŸ”¥ðŸ”¥
LOW BOOKING (REFUNDABLE IF LOAN REJECTED) ðŸ”¥ðŸ”¥
LOW BOOKING (REFUNDABLE IF LOAN REJECTED) ðŸ”¥ðŸ”¥
Unit details:
- 3 rooms 2 baths
- 2 parkings
- FREEHOLD 
Facilities:
Badminton hall
Perimeter Fencing
Main entrance
Multi-purpose hall
Recreation Room
24 hours security
Swimming pool
*** FOR SERIOUS BUYER ONLY***
- FULL LOAN APPLICABLE
- LAWYER AND BANKER CAN BE ARRANGED
- LOW DEPOSIT AND BOOKING
Please: Call/SMS/WhatsApp/Email for more information. Thank you!
-
(Kayden Fong : 
Show contact number
)
(Kayden Fong : 
Show contact number
)
(Kayden Fong : 
Show contact number
)
Email = 
****@***.***
Vestcom Realty E(3)1484
D-10 (Level 3) Cheras Centrepoint
Medan Connaught, 56000
Kuala Lumpur.
*** Owner have unit can contact me as well ***
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
850 sq.ft.
See more details,3,2,850 sq.ft.,,,102460346,""""Apartment / Condominium, For sale"""",""""Multipurpose hall, Parking, Security, Swimming Pool"""",Alam Prima,Syarikat Perumahan Negara Berhad,Freehold,""""No. 6 Jalan Budiman 22/3, Seksyen 22,, Shah Alam, Selangor"""",2010,435,435,Apartment,2,-,Bumi Lot,E,31484,-,""""Bus Stop at Persiaran Jubli Perak 5""
Bus Stop at Seksyen 15 (Timur)
Bus Stop at Batu Tiga Federal Highway
Bus Stop at Persiaran Teknologi 1
Bus Stop at Federal Highway 4
""Bus Stop at Persiaran Teknologi 2"""",,""""Park at Section 21, Shah Alam""
""Park at Taman Mutiara Subang, Batu Tiga"""",,MSU Medical Centre,RM 300 000,,,""
""Blk 3 
Basic unit
1 car park 
Kindly contact kaze kang 
Show contact number,3,2,660 sq.ft.,,,103806285,""""Apartment / Condominium, For sale"""",""""Parking, Playground, Security"""",Sri Aman Block C (Sri Aman Block 1 & 3),-,Freehold,""""Persiaran Paya Terubong 3, Bukit Jambul, Penang"""",2008,18,701,Apartment,1,Medium,Non Bumi Lot,E,31970,REN 03281,,,,,,RM 265 000,,,""",3,2,660 sq.ft.,,,103806285,"Apartment / Condominium, For sale","Parking, Playground, Security",Sri Aman Block C (Sri Aman Block 1 & 3),-,Freehold,"Persiaran Paya Terubong 3, Bukit Jambul, Penang",2008,18,701,Apartment,1,Medium,Non Bumi Lot,E,31970,REN 03281,,,,,,RM 265 000,,,
"""Quaywest Residence, Bayan Lepas For Sale
Details:
âœ…1246sqft
âœ…3 Bedrooms
âœ…2 Bathrooms
âœ…2 Car Parks
âœ…Block A with more Comprehensive Facilities
âœ…Original Unit
Interested Please Contact Bee Ling 
Show contact number
 For More Info and Viewing Arrangement TQ.,3,2,1246 sq.ft.,,,103739661,""""Apartment / Condominium, For sale"""",""""Playground, Gymnasium, Sauna, Security, Swimming Pool, Parking, Jogging Track, Lift, Barbeque area"""",QuayWest Residence,Asia Green Group,Freehold,""""Persiaran Bayan Indah Off Bayan Mutiara, Batu Uban, Penang"""",2021,24,1235,Condominium,2,Medium,Non Bumi Lot,E,11307,REN 61472,,,,,,RM 790 000,,,""",3,2,1246 sq.ft.,,,103739661,"Apartment / Condominium, For sale","Playground, Gymnasium, Sauna, Security, Swimming Pool, Parking, Jogging Track, Lift, Barbeque area",QuayWest Residence,Asia Green Group,Freehold,"Persiaran Bayan Indah Off Bayan Mutiara, Batu Uban, Penang",2021,24,1235,Condominium,2,Medium,Non Bumi Lot,E,11307,REN 61472,,,,,,RM 790 000,,,
"""Reno 
Furnish
1 car park fix 
Kindly contact kaze kang 
Show contact number,2,1,550 sq.ft.,,,103696451,""""Apartment / Condominium, For sale"""",""""Security, Parking"""",Taman Relau Jaya,-,Freehold,""""Lebuh Relau 3, Sungai Ara, Penang"""",-,-,-,Flat,1,Low,Non Bumi Lot,E,31970,REN 03281,,,,,,RM 230 000,,,""",2,1,550 sq.ft.,,,103696451,"Apartment / Condominium, For sale","Security, Parking",Taman Relau Jaya,-,Freehold,"Lebuh Relau 3, Sungai Ara, Penang",-,-,-,Flat,1,Low,Non Bumi Lot,E,31970,REN 03281,,,,,,RM 230 000,,,
"""Ameera Residence Kajang FOR SALE
ðŸ”¥ðŸ”¥ FULL LOAN CAN BE ARRANGED!!
ðŸ”¥ðŸ”¥ FULL LOAN CAN BE ARRANGED!!
Unit details:
- 3 rooms 2 baths âœ…
- 2 parking âœ…
- LOW BOOKING - 1k SAJA !! ðŸ˜ðŸ˜ðŸ˜
- MARKET LOWEST PRICE ðŸ”¥ ðŸ”¥ ðŸ”¥ 
Facilities:
Badminton hall
Basketball court
Barbeque Area
Covered car park
Children's Playground
Perimeter Fencing
Gymnasium room
Jogging track
Main entrance
Multi-purpose hall
Pool Deck
Playground
24 hours security
Swimming pool
Wading pool
*** FOR SERIOUS BUYER ONLY ***
- FULL LOAN APPLICABLE ðŸ”¥
- LOW DEPOSIT AND BOOKING ðŸ”¥
- LAWYER AND BANKER CAN BE ARRANGED ðŸ”¥
- Booking 1k - Refund if loan x pass ðŸ”¥
*** PICTURE DISPLAYED IS NOT ACTUAL UNIT ***
*** The pictures is just for environment display only NOT the actual unit ***
Please: Call/SMS/WhatsApp/Email for more information. Thank you!
-
(Kayden Fong : 
Show contact number
)
(Kayden Fong : 
Show contact number
)
(Kayden Fong : 
Show contact number
)
Email = 
****@***.***
Vestcom Realty E(3)1484
D-12 (Level 2) Cheras Centrepoint
Medan Connaught, 56000
Kuala Lumpur.
*** Owner have unit can contact me as well ***
Continue Reading,3,2,1250 sq.ft.,,,103580644,""""Apartment / Condominium, For sale"""",""""Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track"""",Ameera Residence,TLS Group,Freehold,""""Jalan Mutiara 3, Mutiara Heights,, Kajang, Selangor"""",2016,-,428,Condominium,2,-,Non Bumi Lot,E,31484,-,,,,,,RM 340 000,,,""",3,2,1250 sq.ft.,,,103580644,"Apartment / Condominium, For sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Ameera Residence,TLS Group,Freehold,"Jalan Mutiara 3, Mutiara Heights,, Kajang, Selangor",2016,-,428,Condominium,2,-,Non Bumi Lot,E,31484,-,,,,,,RM 340 000,,,
